大聲嚷嚷	大	聲嚷嚷	3060
大權在握	大	權在握	3055
大飽口福	大	飽口福	3015
大眼瞪小眼	大	眼瞪小眼	3015
大模大樣	大	模大樣	3005
大書特書	大	書特書	2970
大悲	大	悲	2861
大鈔	大	鈔	2710
大老婆	大	老婆	2600
大費周章	大	費周章	2575
大舌頭	大	舌頭	2525
大雜院	大	雜院	2400
大放厥詞	大	放厥詞	2375
大出風頭	大	出風頭	2325
大同世界	大	同世界	2260
大而無當	大	而無當	2255
大調	大	調	2222
大半生	大	半生	2145
大汗	大	汗	2115
大開方便之門	大	開方便之門	2070
大個兒	大	個兒	2040
大卸八塊	大	卸八塊	1935
大年夜	大	年夜	1920
大陸同胞	大	陸同胞	1825
大頭照	大	頭照	1810
大學部	大	學部	1760
大舅子	大	舅子	1660
大拍賣	大	拍賣	1545
大致說來	大	致說來	1530
大公國	大	公國	1520
大動肝火	大	動肝火	1455
大對決	大	對決	1415
大特寫	大	特寫	1385
大夢初醒	大	夢初醒	1350
大前天	大	前天	1330
大將之風	大	將之風	1230
大楷	大	楷	1160
大刑	大	刑	1135
大過	大	過	1134
大器	大	器	1111
大禮服	大	禮服	1070
大雷雨	大	雷雨	1020
大惑	大	惑	1015
大吹大擂	大	吹大擂	970
大卡	大	卡	820
大人大量	大	人大量	785
大權旁落	大	權旁落	770
大麻煙	大	麻煙	625
大陸妹	大	陸妹	585
大熊星座	大	熊星座	545
大夜班	大	夜班	485
大前年	大	前年	480
大殮	大	殮	460
大樣	大	樣	321
大甲溪	大	甲溪	310
大陸熱	大	陸熱	280
大發利市	大	發利市	230
大凡	大	凡	200
大陸貨	大	陸貨	150
大林	大	林	129
大放厥辭	大	放厥辭	111
大雅	大	雅	108
大要	大	要	99
大有可觀	大	有可觀	46
大家樂	大	家樂	36
大嚷大叫	大	嚷大叫	35
大有助益	大	有助益	31
大汗涔涔	大	汗涔涔	10
大安	大	安	2
大滷麵	大	滷麵	1
大甲	大	甲	1
大老	大	老	1
大里	大	里	1
大寮	大	寮	1
大仁	大	仁	1
大溪	大	溪	1
大園	大	園	1
大拜拜	大	拜拜	1
大搬風	大	搬風	1
大爆滿	大	爆滿	1
大脖子	大	脖子	1
大不易	大	不易	1
大車拼	大	車拼	1
大出血	大	出血	1
大動亂	大	動亂	1
大耳朵	大	耳朵	1
大喉嚨	大	喉嚨	1
大換血	大	換血	1
大會操	大	會操	1
大會串	大	會串	1
大會師	大	會師	1
大會舞	大	會舞	1
大家長	大	家長	1
大腳丫	大	腳丫	1
大姐頭	大	姐頭	1
大進擊	大	進擊	1
大剌剌	大	剌剌	1
大陸客	大	陸客	1
大陸片	大	陸片	1
大搶購	大	搶購	1
大圈仔	大	圈仔	1
大俗賣	大	俗賣	1
大台北	大	台北	1
大頭兵	大	頭兵	1
大突破	大	突破	1
大腿舞	大	腿舞	1
大玩偶	大	玩偶	1
大碗公	大	碗公	1
大選區	大	選區	1
大學法	大	學法	1
大學服	大	學服	1
大有為	大	有為	1
大製作	大	製作	1
大包小包	大	包小包	1
大爆冷門	大	爆冷門	1
大吵一頓	大	吵一頓	1
大澈大悟	大	澈大悟	1
大乘經典	大	乘經典	1
大出鋒頭	大	出鋒頭	1
大啖一番	大	啖一番	1
大地重生	大	地重生	1
大隊接力	大	隊接力	1
大發神威	大	發神威	1
大費脣舌	大	費脣舌	1
大近視眼	大	近視眼	1
大舉入侵	大	舉入侵	1
大軍壓境	大	軍壓境	1
大考中心	大	考中心	1
大力幫忙	大	力幫忙	1
大力鼓吹	大	力鼓吹	1
大力推荐	大	力推荐	1
大陸勞工	大	陸勞工	1
大陸政策	大	陸政策	1
大排長龍	大	排長龍	1
大肆抨擊	大	肆抨擊	1
大體而言	大	體而言	1
大顯威風	大	顯威風	1
大相逕庭	大	相逕庭	1
大型電腦	大	型電腦	1
大型家電	大	型家電	1
大學聯考	大	學聯考	1
大學聯招	大	學聯招	1
大學院校	大	學院校	1
大學自治	大	學自治	1
大宴小酌	大	宴小酌	1
大異其趣	大	異其趣	1
大有來頭	大	有來頭	1
大有斬獲	大	有斬獲	1
大展鴻圖	大	展鴻圖	1
大展魅力	大	展魅力	1
大眾運輸	大	眾運輸	1
大專教育	大	專教育	1
大專聯考	大	專聯考	1
大專暑訓	大	專暑訓	1
大陸冷氣團	大	陸冷氣團	1
大中華經濟圈	大	中華經濟圈	1
大眾捷運系統	大	眾捷運系統	1
大人不計小人過	大	人不計小人過	1
大處著眼，小處著手	大	處著眼，小處著手	1
大事化小，小事化無	大	事化小，小事化無	1
不一定	不	一定	211505
不知道	不	知道	500580
不錯	不	錯	500601
不過	不	過	501600
不能	不	能	501818
不用	不	用	500382
不同	不	同	501387
不然	不	然	275995
不敢	不	敢	500319
不會	不	會	500926
不可	不	可	500464
不但	不	但	500317
不管	不	管	500290
不行	不	行	314220
不是	不	是	501670
不得	不	得	501255
不斷	不	斷	501067
不要	不	要	501028
不僅	不	僅	500829
不少	不	少	500719
不足	不	足	500505
不限	不	限	500491
不知	不	知	500478
不再	不	再	500465
不到	不	到	500390
不好	不	好	500381
不夠	不	夠	500358
不對	不	對	500278
不必	不	必	500254
不想	不	想	488400
不可能	不	可能	484620
不如	不	如	479325
不在	不	在	452010
不得不	不	得不	407470
不需要	不	需要	389270
不久	不	久	389045
不宜	不	宜	378940
不一樣	不	一樣	340695
不論	不	論	329715
不良	不	良	316815
不多	不	多	316460
不禁	不	禁	308460
不易	不	易	304650
不詳	不	詳	304285
不變	不	變	296690
不滿	不	滿	296580
不鏽鋼	不	鏽鋼	291240
不懂	不	懂	280700
不合格	不	合格	279850
不准	不	准	274410
不準	不	準	274410
